subjects;code;term
An ninh mạng ;55166;1210
Bảo mật cơ sở dữ liệu ;55203;1002
Dữ liệu lớn ;55153;0212
Cơ sở toán học cho máy tính ;55263;1212
Học máy và ứng dụng ;55241;1212
Khai phá dữ liệu ;55131;0210
Học sâu và ứng dụng trong thị giác ;55255;1210
Kho dữ liệu và hệ hỗ trợ ra quyết định ;55022;1202
Kiến trúc phần mềm ;55247;0210
Kiểm thử phần mềm ;55252;1002
Mật mã học ứng dụng ;55221;1012
Phát triển ứng dụng IoT ;55248;0210
Phân tích chương trình ;55146;1212
Phân tích mã độc ;55253;1002
Quản lý dữ liệu doanh nghiệp ;55234;1200
Tính toán song song ;55151;0210
Xử lý ngôn ngữ tự nhiên ;55143;1210
Quản lý hệ thống thông tin ;55102;1202
Trí tuệ kinh doanh ;55235;1002
Quản trị hệ thống thông tin kinh doanh ;55010;0212